timestamp,count
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:05,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:06,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:07,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:08,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:09,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
1970-01-01 05:30:10,"{'person': 1, 'cell phone': 0}"
