Word_Count_Per_Second
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.4
0.4
0.4
0.4
0.4
0.2
0.2
0.2
0.2
0.2
2.4
2.4
2.4
2.4
2.4
2.8
2.8
2.8
2.8
2.8
2.8
2.8
2.8
2.8
2.8
1.4
1.4
1.4
1.4
1.4
1.0
1.0
1.0
1.0
1.0
15.0
15.0
15.0
15.0
15.0
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
1.0
1.0
1.0
1.0
1.0
2.0
2.0
2.0
2.0
2.0
1.8
1.8
1.8
1.8
1.8
1.4
1.4
1.4
1.4
1.4
1.0
1.0
1.0
1.0
1.0
0.8
0.8
0.8
0.8
0.8
0.6
0.6
0.6
0.6
0.6
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
1.8
1.8
1.8
1.8
1.8
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
29.2
29.2
29.2
29.2
29.2
1.0
1.0
1.0
1.0
1.0
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.2
0.6
0.6
0.6
0.6
0.6
0.8
0.8
0.8
0.8
0.8
1.2
1.2
1.2
1.2
1.2
0.2
0.2
0.2
0.2
0.2
0.4
0.4
0.4
0.4
0.4
